date,state,daily_partial,daily_full,daily_booster,daily_booster2,daily,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul
2021-03-09,Melaka,956,1,0,0,957,5234,1,0,0,5235
2021-03-09,Negeri Sembilan,2412,0,0,0,2412,8433,1,0,0,8434
2021-03-09,Pahang,949,0,0,0,949,16490,1,0,0,16491
2021-03-09,Perak,2910,0,0,0,2910,15649,3,0,0,15652
2021-03-09,Perlis,1102,0,0,0,1102,4162,2,0,0,4164
2021-03-09,Pulau Pinang,1376,0,0,0,1376,7910,2,0,0,7912
2021-03-09,Sabah,3013,2,0,0,3015,18078,10,0,0,18088
2021-03-09,Sarawak,2126,10,0,0,2136,26091,45,0,0,26136
2021-03-09,Selangor,3899,47,0,0,3946,19493,58,0,0,19551
2021-03-09,Terengganu,2192,0,0,0,2192,11764,3,0,0,11767
2021-03-09,W.P. Kuala Lumpur,3294,2,0,0,3296,17068,6,0,0,17074
2021-03-09,W.P. Labuan,26,0,0,0,26,2254,2,0,0,2256
2021-03-09,W.P. Putrajaya,370,0,0,0,370,2948,0,0,0,2948
2021-03-10,Johor,1641,2,0,0,1643,17665,11,0,0,17676
2021-03-10,Kedah,2582,1,0,0,2583,14304,8,0,0,14312
2021-03-10,Kelantan,797,1,0,0,798,15617,1,0,0,15618
2021-03-10,Melaka,895,0,0,0,895,6129,1,0,0,6130
2021-03-10,Negeri Sembilan,2363,0,0,0,2363,10796,1,0,0,10797
2021-03-10,Pahang,1095,0,0,0,1095,17585,1,0,0,17586
2021-03-10,Perak,1523,0,0,0,1523,17172,3,0,0,17175
2021-03-10,Perlis,1086,0,0,0,1086,5248,2,0,0,5250
2021-03-10,Pulau Pinang,2143,3,0,0,2146,10053,5,0,0,10058
2021-03-10,Sabah,2913,3,0,0,2916,20991,13,0,0,21004
2021-03-10,Sarawak,699,2,0,0,701,26790,47,0,0,26837
2021-03-10,Selangor,4876,0,0,0,4876,24369,58,0,0,24427
2021-03-10,Terengganu,1826,0,0,0,1826,13590,3,0,0,13593
2021-03-10,W.P. Kuala Lumpur,3813,0,0,0,3813,20881,6,0,0,20887
2021-03-10,W.P. Labuan,126,0,0,0,126,2380,2,0,0,2382
2021-03-10,W.P. Putrajaya,395,0,0,0,395,3343,0,0,0,3343
2021-03-11,Johor,2106,0,0,0,2106,19771,11,0,0,19782
2021-03-11,Kedah,1643,0,0,0,1643,15947,8,0,0,15955
2021-03-11,Kelantan,357,1,0,0,358,15974,2,0,0,15976
2021-03-11,Melaka,869,0,0,0,869,6998,1,0,0,6999
2021-03-11,Negeri Sembilan,59,0,0,0,59,10855,1,0,0,10856
2021-03-11,Pahang,1883,0,0,0,1883,19468,1,0,0,19469
2021-03-11,Perak,3719,0,0,0,3719,20891,3,0,0,20894
2021-03-11,Perlis,763,0,0,0,763,6011,2,0,0,6013
2021-03-11,Pulau Pinang,2892,0,0,0,2892,12945,5,0,0,12950
2021-03-11,Sabah,1956,7,0,0,1963,22951,20,0,0,22967
2021-03-11,Sarawak,18,2,0,0,20,26808,49,0,0,26857
2021-03-11,Selangor,5091,0,0,0,5091,29460,58,0,0,29518
2021-03-11,Terengganu,0,0,0,0,0,13590,3,0,0,13593
2021-03-11,W.P. Kuala Lumpur,4752,2,0,0,4754,25633,8,0,0,25641
2021-03-11,W.P. Labuan,2,0,0,0,2,2382,2,0,0,2384
2021-03-11,W.P. Putrajaya,397,0,0,0,397,3740,0,0,0,3740
2021-03-12,Johor,721,0,0,0,721,20492,11,0,0,20503
2021-03-12,Kedah,714,0,0,0,714,16661,8,0,0,16669
2021-03-12,Kelantan,0,0,0,0,0,15974,2,0,0,15976
2021-03-12,Melaka,607,0,0,0,607,7605,1,0,0,7606
2021-03-12,Negeri Sembilan,1401,0,0,0,1401,12256,1,0,0,12257
2021-03-12,Pahang,2535,0,0,0,2535,22003,1,0,0,22004
2021-03-12,Perak,7337,0,0,0,7337,28228,3,0,0,28231
2021-03-12,Perlis,585,0,0,0,585,6596,2,0,0,6598
2021-03-12,Pulau Pinang,2868,0,0,0,2868,15813,5,0,0,15818
2021-03-12,Sabah,1467,0,0,0,1467,24418,20,0,0,24434
2021-03-12,Sarawak,897,8,0,0,905,27705,57,0,0,27762
2021-03-12,Selangor,3752,1,0,0,3753,33212,59,0,0,33271
2021-03-12,Terengganu,0,0,0,0,0,13590,3,0,0,13593
2021-03-12,W.P. Kuala Lumpur,3142,1,0,0,3143,28775,9,0,0,28784
2021-03-12,W.P. Labuan,6,0,0,0,6,2388,2,0,0,2390
2021-03-12,W.P. Putrajaya,91,0,0,0,91,3831,0,0,0,3831
2021-03-13,Johor,1570,1,0,0,1571,22062,12,0,0,22074
2021-03-13,Kedah,568,0,0,0,568,17229,8,0,0,17237
2021-03-13,Kelantan,0,0,0,0,0,15974,2,0,0,15976
2021-03-13,Melaka,230,0,0,0,230,7835,1,0,0,7836
2021-03-13,Negeri Sembilan,14,0,0,0,14,12270,1,0,0,12271
2021-03-13,Pahang,3301,0,0,0,3301,25304,1,0,0,25305
2021-03-13,Perak,3237,0,0,0,3237,31465,3,0,0,31468
2021-03-13,Perlis,216,0,0,0,216,6812,2,0,0,6814
2021-03-13,Pulau Pinang,803,0,0,0,803,16616,5,0,0,16621
2021-03-13,Sabah,2928,0,0,0,2928,27346,20,0,0,27362
2021-03-13,Sarawak,1729,2,0,0,1731,29434,59,0,0,29493
2021-03-13,Selangor,2463,0,0,0,2463,35675,59,0,0,35734
2021-03-13,Terengganu,2,0,0,0,2,13592,3,0,0,13595
2021-03-13,W.P. Kuala Lumpur,0,0,0,0,0,28775,9,0,0,28784
2021-03-13,W.P. Labuan,0,0,0,0,0,2388,2,0,0,2390
2021-03-13,W.P. Putrajaya,0,0,0,0,0,3831,0,0,0,3831
2021-03-14,Johor,1137,0,0,0,1137,23199,12,0,0,23211
2021-03-14,Kedah,1432,0,0,0,1432,18661,8,0,0,18669
2021-03-14,Kelantan,72,1,0,0,73,16046,3,0,0,16049
2021-03-14,Melaka,0,0,0,0,0,7835,1,0,0,7836
2021-03-14,Negeri Sembilan,0,0,0,0,0,12270,1,0,0,12271
2021-03-14,Pahang,202,0,0,0,202,25506,1,0,0,25507
2021-03-14,Perak,1368,0,0,0,1368,32833,3,0,0,32836
2021-03-14,Perlis,0,0,0,0,0,6812,2,0,0,6814
2021-03-14,Pulau Pinang,506,0,0,0,506,17122,5,0,0,17127
2021-03-14,Sabah,2941,2,0,0,2943,30287,22,0,0,30305
2021-03-14,Sarawak,1068,2,0,0,1070,30502,61,0,0,30563
2021-03-14,Selangor,547,0,0,0,547,36222,59,0,0,36281
2021-03-14,Terengganu,1036,0,0,0,1036,14628,3,0,0,14631
2021-03-14,W.P. Kuala Lumpur,1,0,0,0,1,28776,9,0,0,28785
2021-03-14,W.P. Labuan,0,0,0,0,0,2388,2,0,0,2390
2021-03-14,W.P. Putrajaya,0,0,0,0,0,3831,0,0,0,3831
2021-03-15,Johor,1797,0,0,0,1797,24996,12,0,0,25008
2021-03-15,Kedah,2647,0,0,0,2647,21308,8,0,0,21316
2021-03-15,Kelantan,466,0,0,0,466,16512,3,0,0,16515
2021-03-15,Melaka,288,0,0,0,288,8123,1,0,0,8124
2021-03-15,Negeri Sembilan,698,0,0,0,698,12968,1,0,0,12969
2021-03-15,Pahang,200,0,0,0,200,25706,1,0,0,25707
2021-03-15,Perak,1648,1,0,0,1649,34481,4,0,0,34485
2021-03-15,Perlis,470,0,0,0,470,7282,2,0,0,7284
2021-03-15,Pulau Pinang,1834,0,0,0,1834,18956,5,0,0,18961
2021-03-15,Sabah,4211,0,0,0,4211,34498,22,0,0,34516
2021-03-15,Sarawak,720,2,0,0,722,31222,63,0,0,31285
